Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Ciudad de Mexico,Mexico,14/11/2022 04:21,19.4326,-99.1332,1749232,43609,,,"Ciudad de Mexico, Mexico",19395.72962,2.493036944
Coahuila,Mexico,14/11/2022 04:21,27.0587,-101.7068,180646,8964,,,"Coahuila, Mexico",5612.355222,4.962191247
Colima,Mexico,14/11/2022 04:21,19.1223,-104.0072,67429,2242,,,"Colima, Mexico",8588.007688,3.324978867
Durango,Mexico,14/11/2022 04:21,24.5593,-104.6588,79317,3674,,,"Durango, Mexico",4243.829307,4.632046094
Guanajuato,Mexico,14/11/2022 04:21,21.019,-101.2574,351879,15104,,,"Guanajuato, Mexico",5649.793077,4.292384598
Guerrero,Mexico,14/11/2022 04:21,17.4392,-99.5451,116082,6847,,,"Guerrero, Mexico",3174.199518,5.898416637
Hidalgo,Mexico,14/11/2022 04:21,20.0911,-98.7624,120476,8549,,,"Hidalgo, Mexico",3903.429676,7.096019124
Jalisco,Mexico,14/11/2022 04:21,20.6595,-103.3494,284881,19993,,,"Jalisco, Mexico",3387.531507,7.01801805
Mexico,Mexico,14/11/2022 04:21,19.4969,-99.7233,703905,47925,,,"Mexico, Mexico",4038.980272,6.808447163
Michoacan,Mexico,14/11/2022 04:21,19.5665,-101.7068,110032,8974,,,"Michoacan, Mexico",2280.266448,8.155809219
Morelos,Mexico,14/11/2022 04:21,18.6813,-99.1013,91592,5343,,,"Morelos, Mexico",4480.890464,5.833478906
Nayarit,Mexico,14/11/2022 04:21,21.7514,-104.8455,72182,3246,,,"Nayarit, Mexico",5601.70918,4.496966003
Nuevo Leon,Mexico,14/11/2022 04:21,25.5922,-99.9962,400607,15346,,,"Nuevo Leon, Mexico",7140.749994,3.830686933
Oaxaca,Mexico,14/11/2022 04:21,17.0732,-96.7266,149908,6347,,,"Oaxaca, Mexico",3617.826365,4.233930144
Puebla,Mexico,14/11/2022 04:21,19.0414,-98.2063,208540,16661,,,"Puebla, Mexico",3157.567525,7.98935456
Queretaro,Mexico,14/11/2022 04:21,20.5888,-100.3899,177390,6346,,,"Queretaro, Mexico",7781.502055,3.577428265
Quintana Roo,Mexico,14/11/2022 04:21,19.1817,-88.4791,112087,4427,,,"Quintana Roo, Mexico",6504.361794,3.94961057
San Luis Potosi,Mexico,14/11/2022 04:21,22.1565,-100.9855,241384,7611,,,"San Luis Potosi, Mexico",8421.913499,3.153067312
Sinaloa,Mexico,14/11/2022 04:21,25.1721,-107.4795,176698,9916,,,"Sinaloa, Mexico",5597.600512,5.611834882
